x,estimate
0.066084706,-0.056134593
0.393391031,0.803839397
0.8294254,1.606631413
1.222068302,2.523986878
1.549343455,3.355307537
2.290801383,4.903435282
2.944821765,6.078969976
3.424746353,7.225651838
4.144165656,8.515874668
4.798061349,9.576796039
5.321128029,10.37968781
6.170752904,11.35487362
7.041855309,12.0722044
7.891043777,12.64624358
8.696529057,13.04831291
9.196996014,13.0775398
9.915137263,13.19297607
10.633185,13.22245234
11.61226732,13.1949212
12.43901192,13.13856217
12.67835078,13.13883649
13.28754578,13.11088141
14.0708054,13.08312583
14.57127236,13.11235273
15.13704472,13.17030777
15.78981822,13.19970923
16.42086481,13.25773908
17.18261573,13.45918521
17.7267547,13.63172864
18.37971524,13.83305008
19.03270694,14.06302486
19.90327942,14.29324901
20.9917444,14.81025585
22.23245358,15.27013059
23.25545729,15.61514262
24.278461,15.96015466
24.99663342,16.10424426
