Series Name,Series Code,Country Name,Country Code,1990,2000,2010,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bolivia,BOL,0.948284831,1.796245193,2.654754754,2.982221521,2.89461967,2.779299575,2.68458724,2.702014208,2.639060974,2.582664967,2.473956823,2.427654686,2.331492718
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bosnia and Herzegovina,BIH,0.000236624,0.68516537,0.732373821,0.687205548,0.693906877,0.675566519,0.680663692,0.674437307,0.651074166,0.64298143,0.660284784,0.674625158,0.698005114
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Botswana,BWA,0.865849484,1.836378858,3.31109427,4.261119111,4.398016906,4.533646204,4.682478428,4.786637783,4.833456516,4.737116337,4.819880486,5.156777507,5.083421127
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brazil,BRA,1.16E-05,0.757895424,1.388137023,1.824850525,2.005869311,2.155971596,2.209679127,2.197591543,2.216445208,2.264911175,2.37927413,2.411273359,2.435959116
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,British Virgin Islands,VGB,..,..,..,1.064383241,1.071502049,1.055831415,1.020229697,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Brunei Darussalam,BRN,0.610851171,0.474829324,0.598894489,0.639973853,0.671476414,0.649816136,0.627636611,0.641614974,0.598504782,0.530513346,0.532498598,0.617532002,0.519210636
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Bulgaria,BGR,0.000689988,0.535964224,0.677054363,0.661229595,0.6785188,0.666664351,0.676279332,0.680100517,0.675805828,0.675201085,0.693254013,0.727682462,0.768050864
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burkina Faso,BFA,162.6035977,197.1904761,213.3438208,227.3231965,220.2303563,209.0264836,201.5952759,208.2841949,200.7630615,199.5170898,199.7247467,197.4120155,194.3624788
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Burundi,BDI,71.22013277,186.774394,434.6733931,534.9652527,553.8459543,564.3957462,626.1676025,605.9476929,582.1962891,595.6138306,609.5991821,673.3433278,723.894519
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cabo Verde,CPV,56.19684032,53.29871834,49.36466549,51.5741783,50.1083686,48.94341988,47.9817543,50.68048477,49.90723801,49.99317551,48.17049408,47.81694061,47.90657706
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cambodia,KHM,73.24128294,909.8373016,1333.506629,1403.651317,1419.624906,1431.956435,1464.890991,1468.921753,1468.902588,1433.769165,1426.959839,1378.815448,1345.072605
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cameroon,CMR,164.4772174,238.6674582,237.4833172,237.9785462,239.1783216,235.558762,230.5853882,223.1657715,214.8725128,205.1069946,193.4589539,192.9200433,194.8964458
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Canada,CAN,1.241556,1.227599,1.22182,1.230358,1.248004,1.207045,1.212304,1.206524,1.21786,1.201689,1.164052,1.152143,1.137311
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Cayman Islands,CYM,..,..,0.965408125,0.994393606,0.994372223,0.987132743,0.98079437,0.973204851,1.011659026,1.03776145,0.971421659,0.939265358,0.939650949
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Central African Republic,CAF,220.1567725,265.4569434,251.9573599,289.5238628,281.6784455,277.7713044,284.0335083,279.1550903,267.2586975,249.863266,241.8806763,239.2580737,238.7997849
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chad,TCD,118.5049655,160.7240933,242.6375767,295.9949645,247.1739797,240.8987086,236.5829926,236.5224915,222.5734711,228.2732086,215.5109406,231.6358982,221.4960905
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Chile,CHL,170.538946,290.42564,359.83702,367.213907,391.360578,397.250703,397.689401,396.229413,397.674408,409.841785,422.642818,436.059188,435.895551
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,China,CHN,1.693857618,2.722122054,3.32839098,3.693706981,3.781514936,3.874289636,4.040052414,4.094089985,4.059609413,4.014656544,3.987408876,3.789924404,3.636979369
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Colombia,COL,174.3542996,787.2936283,1120.764171,1226.732967,1285.027924,1298.142605,1328.016627,1322.160543,1312.630441,1270.743624,1342.721039,1376.155218,1453.585153
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,Comoros,COM,165.5831481,191.6424334,216.8895514,203.6787654,199.85077,193.3370983,185.2477112,194.2283478,201.5426788,201.6755676,191.4807739,187.5708015,186.339075
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Congo, Dem. Rep.",COD,7.34E-10,62.60207791,477.2234325,526.6711561,504.3183977,488.9378754,637.2664185,801.5734863,786.3093872,827.0042725,845.4506836,868.9442437,949.2434863
"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,"Congo, Rep.",COG,101.7122532,216.6194786,284.4722133,310.148249,305.8605076,308.8575622,288.9322815,267.5776978,254.9121399,240.5133362,222.7753754,245.9231195,219.4169108
